Frame,car,bike,truck,tuk tuk,ambulance,bus,person,potholes,lorry
560,0,1,0,0,0,1,5,0,0
561,1,1,0,0,0,1,5,0,0
562,2,1,0,0,0,2,5,0,0
563,2,1,0,0,0,2,5,0,0
564,1,1,0,0,0,1,4,0,0
565,2,1,0,0,0,1,4,0,0
566,1,1,0,0,0,2,5,0,0
567,1,1,0,0,0,2,5,0,0
568,1,1,0,0,0,2,4,0,0
569,1,1,0,0,0,2,5,0,0
570,0,1,0,0,0,2,4,0,0
571,0,1,0,0,0,2,4,0,0
572,0,1,0,0,0,2,5,0,0
573,1,1,0,0,0,2,5,0,0
574,1,1,2,0,0,2,5,0,0
575,1,1,2,0,0,2,5,0,0
576,0,1,1,0,0,2,5,0,0
577,0,1,1,0,0,2,5,0,0
578,0,1,2,0,0,1,6,0,0
579,0,1,2,0,0,1,6,0,0
580,1,1,0,0,0,1,6,0,0
581,0,1,0,0,0,1,6,0,0
582,0,1,0,0,0,2,6,0,0
583,0,1,1,0,0,2,6,0,0
584,1,1,0,0,0,1,7,0,0
585,1,1,0,0,0,1,6,0,0
586,1,1,1,0,0,2,7,0,0
587,1,1,1,0,0,2,7,0,0
588,1,1,0,0,0,1,6,0,0
589,1,1,0,0,0,1,6,0,0
590,1,1,0,0,0,1,6,0,0
591,1,1,0,0,0,1,6,0,0
592,0,1,0,0,0,2,6,0,0
593,0,1,0,0,0,2,6,0,0
594,0,1,0,0,0,2,6,0,0
595,1,1,0,0,0,2,6,0,0
596,0,1,0,0,0,2,7,0,0
597,0,1,0,0,0,1,7,0,0
598,0,1,0,0,0,1,7,0,0
599,0,1,0,0,0,1,7,0,0
600,1,1,1,0,0,2,7,0,0
601,1,1,1,0,0,2,7,0,0
602,1,1,1,0,0,2,7,0,0
603,1,1,1,0,0,2,8,0,0
604,0,1,1,0,0,2,8,0,0
605,0,1,1,0,0,2,8,0,0
606,1,1,1,0,0,2,8,0,0
607,0,1,1,0,0,2,8,0,0
